Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews,PostCode
Moorbrock Hill,3.4,651.40,Southern Uplands,Galloway,Forest of Carsphairn,55.260319,-4.172047,87.0,2.57,Roadside parking on A713 near Carsphairn (NS560196),None nearby,No,2.4-3.3 hrs,12:33,,DG4
Blackhope Scar,2.5,651.80,Southern Uplands,The Borders,Moorfoot Hills,55.723514,-3.091949,29.2,1.37,Gladhouse Reservoir informal parking (NT291528),None nearby,No,2.4-3.3 hrs,14:57,,EH45
Hillshaw Head,2.5,652.00,Southern Uplands,The Borders,Tinto and Culter Fells,55.505869,-3.508242,45.1,1.91,Layby near Coulter Reservoir (NT031310),None nearby,No,2.4-3.3 hrs,13:52,,ML12
Millfore,3.6,657.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.050237,-4.383848,98.7,2.85,"There is a car park on the left just short of Black Loch, reached by driving up an unmade forest track from the A712 Queen's Way.",None nearby,No,2.5-3.4 hrs,11:54,,DG8
Cairnsgarroch,3.5,659.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.194111,-4.333625,95.6,3.06,Glen Trool visitor centre car park (NX397788),Glen Trool visitor centre,No,2.5-3.4 hrs,11:28,,DG8
Windlestraw Law,3.3,659.20,Southern Uplands,The Borders,Moorfoot Hills,55.676398,-3.001744,43.0,1.64,"Leithen Road car park, Innerleithen (NT332368)",Innerleithen town centre,No,2.5-3.4 hrs,14:19,,EH43
Birkscairn Hill,4.0,661.60,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.586719,-3.15226,28.0,1.26,"Glen Road layby, Peebles (NT259392)",Peebles town centre,No,2.5-3.4 hrs,15:04,,EH44
Bodesbeck Law,3.8,664.20,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.380608,-3.311604,54.3,1.76,"Grey Mare's Tail car park, A708 (NT186144)",Moffat town centre,No,2.5-3.4 hrs,14:04,,DG10
Scaw'd Law,2.5,664.40,Southern Uplands,Galloway,Lowther Hills,55.31633,-3.69991,60.7,1.88,Wanlockhead village parking (NS873131),Wanlockhead museum,No,2.5-3.4 hrs,13:50,,DG3
Wind Fell,3.2,665.20,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.342671,-3.296095,54.5,1.79,"Grey Mare's Tail car park, A708 (NT186144)",Moffat town centre,No,2.5-3.4 hrs,14:01,,DG10
